year,month,day,hour,sim_flow_cfs,flow_cfs
1990,9,17,6,20.981026517480075,26.6
1990,9,17,12,21.001378671795877,27.1
1990,9,17,18,21.00003703925966,27.1
1990,9,18,0,21.400223623655748,28.2
1990,9,18,6,22.748162025349437,28.2
1990,9,18,12,22.777830288299768,28.7
1990,9,18,18,22.80210667993571,28.7
1990,9,19,0,23.21347292107955,29.3
1990,9,19,6,24.868906927617573,29.3
1990,9,19,12,24.91548501771041,29.8
1990,9,19,18,24.927125921018643,29.3
1990,9,20,0,25.33431074673495,29.3
1990,9,20,6,23.571003946610325,29.8
1990,9,20,12,23.4842307265488,29.8
1990,9,20,18,23.423395865227405,29.3
1990,9,21,0,23.796425045941504,29.8
1990,9,21,6,21.6385289149952,29.8
1990,9,21,12,21.53329191636474,30.9
1990,9,21,18,21.462443096182916,29.8
1990,9,22,0,21.8266538797295,29.8
1990,9,22,6,21.36840394658342,29.8
1990,9,22,12,21.326367914438983,29.8
1990,9,22,18,21.302367698696827,29.3
1990,9,23,0,21.680954753512914,29.8
1990,9,23,6,21.866937668620494,29.8
1990,9,23,12,21.836254726317854,30.4
1990,9,23,18,21.80798503735393,29.8
1990,9,24,0,22.1887777225652,30.4
1990,9,24,6,23.173622555892806,30.4
1990,9,24,12,23.18763427868086,30.9
1990,9,24,18,23.184545154504285,29.8
1990,9,25,0,23.57712888256838,29.3
1990,9,25,6,24.01772346632709,29.3
1990,9,25,12,24.007796767093822,29.3
1990,9,25,18,23.99107431984983,28.7
1990,9,26,0,24.38340651030046,29.3
1990,9,26,6,24.8233182009644,29.8
1990,9,26,12,24.814364559306696,30.4
1990,9,26,18,24.79814511981349,29.8
1990,9,27,0,25.184029234189673,29.8
1990,9,27,6,25.632404835149806,29.8
1990,9,27,12,25.624211977651733,30.4
1990,9,27,18,25.60899150403643,29.3
1990,9,28,0,25.995026640933027,29.3
1990,9,28,6,26.166126594433322,29.8
1990,9,28,12,26.16654273497454,30.4
1990,9,28,18,26.156286103483538,29.8
1990,9,29,0,26.544444171243356,29.8
1990,9,29,6,25.496306657149283,30.4
1990,9,29,12,25.440848364858553,30.9
1990,9,29,18,25.425296040139088,30.9
1990,9,30,0,25.810771088476145,31.5
1990,9,30,6,24.665854295469586,30.9
1990,9,30,12,24.580059636545784,30.9
1990,9,30,18,24.518015400615226,37.7
1990,10,1,0,24.875897408040814,37
1990,10,1,6,26.325138093432074,37
1990,10,1,12,26.28709701419342,37
1990,10,1,18,26.25592346040716,36.4
1990,10,2,0,26.628694697523166,36.4
1990,10,2,6,31.497742894908555,36.4
1990,10,2,12,31.702685509917963,37
1990,10,2,18,31.80975651731579,36.4
1990,10,3,0,32.25230093370854,36.4
1990,10,3,6,30.9558274344596,37
1990,10,3,12,30.916715752087036,37.7
1990,10,3,18,30.883592223188543,37.7
1990,10,4,0,31.260865291924134,37
1990,10,4,6,28.906483366879137,37.7
1990,10,4,12,28.75636253330528,37.7
1990,10,4,18,28.6616719124709,NA
1990,10,5,0,29.00601238357659,37.7
1990,10,5,6,31.11548000613635,NA
1990,10,5,12,31.17618707853451,NA
1990,10,5,18,31.201575521914442,NA
1990,10,6,0,31.617807237695892,39
1990,10,6,6,35.09094267420957,NA
1990,10,6,12,35.27611603706028,NA
1990,10,6,18,35.27541180193176,NA
1990,10,7,0,35.62306874349952,41
1990,10,7,6,36.06056256801789,NA
1990,10,7,12,36.04876308996003,NA
1990,10,7,18,36.03151733056409,NA
1990,10,8,0,36.415357313728826,39.7
1990,10,8,6,34.99012971964245,NA
1990,10,8,12,34.922948743239424,NA
1990,10,8,18,34.875570403616095,NA
1990,10,9,0,35.24541629566185,41
1990,10,9,6,33.269939552084864,NA
1990,10,9,12,33.169814618410264,NA
1990,10,9,18,33.10397277955201,NA
1990,10,10,0,33.46222151237413,41
1990,10,10,6,33.1829248358156,NA
1990,10,10,12,33.12151243157321,NA
1990,10,10,18,33.077762257012225,NA
1990,10,11,0,33.44405459895333,42.5
1990,10,11,6,35.178576867515226,NA
1990,10,11,12,35.2526975010871,NA
1990,10,11,18,35.286630116197564,NA
1990,10,12,0,35.690936783543734,41.7
1990,10,12,6,34.66991824066213,NA
1990,10,12,12,34.594748126868126,NA
1990,10,12,18,34.5420467826297,NA
1990,10,13,0,34.90387734771466,42.5
1990,10,13,6,35.755732713143765,NA
1990,10,13,12,35.80105100928191,NA
1990,10,13,18,35.81860054842036,NA
1990,10,14,0,36.21415372158879,42.5
1990,10,14,6,34.771227802549866,42.5
1990,10,14,12,34.673063659534975,42.5
1990,10,14,18,34.60793790981888,42.5
1990,10,15,0,34.96263059589251,42.5
1990,10,15,6,36.010206335366256,NA
1990,10,15,12,36.01736856719535,NA
1990,10,15,18,36.013215386994844,NA
1990,10,16,0,36.395870637198996,42.5
1990,10,16,6,38.914494675236675,NA
1990,10,16,12,39.170168580337304,NA
1990,10,16,18,39.119921549901136,NA
1990,10,17,0,38.72325230131837,43.2
1990,10,17,6,38.85745786448444,NA
1990,10,17,12,38.78910909505282,NA
1990,10,17,18,38.73899971407917,NA
1990,10,18,0,38.43533816258831,43.2
1990,10,18,6,38.69872481610295,NA
1990,10,18,12,38.85973987327559,NA
1990,10,18,18,39.037553947880546,NA
1990,10,19,0,39.544202028520445,43.9
1990,10,19,6,42.77188967564715,NA
1990,10,19,12,42.959407696398344,NA
1990,10,19,18,42.634854462280316,NA
1990,10,20,0,41.878909189623,44.6
1990,10,20,6,40.94840547411092,NA
1990,10,20,12,40.68613457034729,NA
1990,10,20,18,40.53696939876183,NA
1990,10,21,0,40.16073586506814,45.4
1990,10,21,6,39.07014616424715,NA
1990,10,21,12,38.939018693264444,NA
1990,10,21,18,38.848820692121,NA
1990,10,22,0,39.36882082279531,44.6
1990,10,22,6,40.46103305322306,NA
1990,10,22,12,41.20089994959608,NA
1990,10,22,18,41.42243872076807,NA
1990,10,23,0,40.704869686458586,46.9
1990,10,23,6,39.16964857705219,NA
1990,10,23,12,38.74062897679863,NA
1990,10,23,18,38.47471966653385,NA
1990,10,24,0,38.04775501750987,46.1
1990,10,24,6,37.315548618922854,NA
1990,10,24,12,37.219680376858314,46.1
1990,10,24,18,37.15477873144676,45.4
1990,10,25,0,36.840955140920954,46.1
1990,10,25,6,36.72909624225721,NA
1990,10,25,12,36.680905829061736,NA
1990,10,25,18,36.64148362961162,NA
1990,10,26,0,36.34164282802731,45.4
1990,10,26,6,36.7139186372766,NA
1990,10,26,12,36.7007026744222,NA
1990,10,26,18,36.681527442106876,NA
1990,10,27,0,36.39190989591674,45.4
1990,10,27,6,36.567476542748835,NA
1990,10,27,12,36.53029800187538,NA
1990,10,27,18,36.497947330967335,NA
1990,10,28,0,36.20385247427728,44.6
1990,10,28,6,36.49721550240511,NA
1990,10,28,12,36.471608759442965,NA
1990,10,28,18,36.44600890613319,NA
1990,10,29,0,36.15592757272352,NA
1990,10,29,6,36.75656549080766,NA
1990,10,29,12,36.75339060434598,NA
1990,10,29,18,36.741245988474034,NA
1990,10,30,0,36.458291771804234,NA
1990,10,30,6,36.93408010991216,NA
1990,10,30,12,36.91229819269099,NA
1990,10,30,18,36.889316554724054,NA
1990,10,31,0,36.60211784421305,NA
1990,10,31,6,38.19718348147356,NA
1990,10,31,12,38.246414456649674,NA
1990,10,31,18,38.53942753084465,NA
1990,11,1,0,38.55405988883897,NA
1990,11,1,6,40.21515595410689,NA
1990,11,1,12,40.32941895428027,NA
1990,11,1,18,40.35745318079847,NA
1990,11,2,0,39.98008273358659,NA
1990,11,2,6,39.725727033806024,NA
1990,11,2,12,39.55675536418838,NA
1990,11,2,18,39.43702741134898,NA
1990,11,3,0,39.08612517465006,NA
1990,11,3,6,38.7440938079842,NA
1990,11,3,12,38.69735080679937,NA
1990,11,3,18,38.683941084574144,51.6
1990,11,4,0,38.39917349217802,50.8
1990,11,4,6,38.40689289663452,46.9
1990,11,4,12,38.370909541950375,NA
1990,11,4,18,38.518600266722544,NA
1990,11,5,0,39.281676879947575,NA
1990,11,5,6,40.52422936819844,NA
1990,11,5,12,40.31890967158087,NA
1990,11,5,18,40.27786209662023,NA
1990,11,6,0,39.86925380104021,NA
1990,11,6,6,39.71656294220465,NA
1990,11,6,12,39.47976562327812,NA
1990,11,6,18,39.30150828651681,NA
